"관측지점별","항목","단위","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월",
"상주","평균이슬점온도","℃","-11.9","-13.7","-.3","2.5","10.7","14.4","21.5","20.8","15.1","6.5",".5","-8.9",
"상주","평균증기압","hPa","2.8","2.4","6.4","7.9","13.7","16.8","25.8","24.9","17.6","10.1","6.9","3.7",
"상주","합계일조시간","hr","191.9","198.4","198.1","236.6","211.9","205.2","245.8","210.3","158.9","202.8","156.1","185.1",
"상주","평균전운량","할","","","","","","","","6.2","6.2","4.3","4.4","4.2",
"상주","평균현지기압","hPa","1011.6","1011","1008.6","1004.2","1000.3","997","997.9","996.8","1002.5","1007.3","1011.9","1014.9",
"상주","평균해면기압","hPa","1023.9","1023.1","1020.3","1015.6","1011.5","1007.9","1008.7","1007.6","1013.7","1018.9","1023.7","1027.1",
"상주","최고해면기압","hPa","1034.8","1030.8","1033","1026","1025.4","1016.4","1018.2","1015.1","1024","1028.4","1030.8","1039.7",
"상주","최고해면기압일자","","2018-01-14","2018-02-02","2018-03-07","2018-04-13","2018-05-10","2018-06-02","2018-07-09","2018-08-26","2018-09-11","2018-10-20","2018-11-23","2018-12-31",
"상주","최저해면기압","hPa","1007.8","996.9","998.8","1003.3","1001.1","997.8","993.6","987.1","993.8","992.9","1007.1","1013.1",
"상주","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-14","2018-05-02","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
"상주","평균지면온도","℃","-.9","1.2","9","15.5","21.7","29.1","33.2","33.3","22.9","15","8.1","1.3",
"포항","평균기온","℃",".6","2.5","10.2","15.5","18.7","23.3","27.3","27.7","21.9","15.5","10.9","4",
"포항","평균최고기온","℃","5.2","7.5","14.9","20.7","22.6","27.2","30.9","30.8","24.8","19.8","15.6","8.5",
"포항","평균최저기온","℃","-3.2","-2","5.5","10.6","15.1","19.7","24.2","24.8","19.3","11.7","6.9",".1",
"포항","최고기온","℃","13.3","15.3","25.9","33","32.6","34.6","37.2","39.4","30.6","26.3","21.6","19.7",
"포항","최고기온일자","","2018-01-15","2018-02-27","2018-03-28","2018-04-21","2018-05-17","2018-06-24","2018-07-22","2018-08-04","2018-09-05","2018-10-07","2018-11-04","2018-12-03",
"포항","최저기온","℃","-12.9","-10.3","-2.2","2.8","9.9","14.4","17.6","19.5","13.5","6",".6","-8.3",
"포항","최저기온일자","","2018-01-26","2018-02-07","2018-03-02","2018-04-08","2018-05-04","2018-06-17","2018-07-07","2018-08-19","2018-09-25","2018-10-31","2018-11-24","2018-12-28",
"포항","합계강수량","mm","20","33.5","153.7","106.5","71.6","89.1","164.1","175.4","160","261.6","17.7","31.1",
"포항","최심적설","cm","0.1","0.2","","","","","","","","","","",
"포항","최심적설일자","","2018-01-10","2018-02-12","","","","","","","","","","",
"포항","최심신적설","cm","0.1","0.2","","","","","","","","","","",
"포항","최심신적설일자","","2018-01-10","2018-02-11","","","","","","","","","","",
"포항","합계신적설","cm",".1",".2","","","","","","","","","","",
"포항","평균풍속","m/s","2.8","2.7","3.3","3.2","3.1","2.7","2.7","2.7","2.6","2.6","2.1","2.6",
"포항","최대풍속","m/s","7.7","7.7","10.1","7.6","8.6","6.9","8.3","8.9","8.5","13.6","7.3","7.5",
"포항","최대풍속일자","","2018-01-24","2018-02-14","2018-03-21","2018-04-22","2018-05-03","2018-06-15","2018-07-29","2018-08-16","2018-09-10","2018-10-06","2018-11-09","2018-12-29",
"포항","최대순간풍속","m/s","14.7","13.7","19.7","13.9","16.6","11.1","12.2","12.8","10.9","16.7","10.9","10.8",
"포항","최대순간풍속일자","","2018-01-29","2018-02-04","2018-03-01","2018-04-24","2018-05-03","2018-06-27","2018-07-29","2018-08-24","2018-09-21","2018-10-06","2018-11-09","2018-12-29",
"포항","평균상대습도","%","49","45","62","57","73","69","78","74","74","67","62","52",
"포항","최소상대습도","%","17","13","15","12","20","26","38","35","34","27","16","11",
"포항","최소상대습도일자","","2018-01-27","2018-02-17","2018-03-02","2018-04-19","2018-05-04","2018-06-24","2018-07-24","2018-08-14","2018-09-05","2018-10-11","2018-11-23","2018-12-27",
"포항","평균이슬점온도","℃","-9.6","-9","2.1","5.6","12.9","16.7","22.7","22.3","16.7","8.9","3.3","-5.9",
"포항","평균증기압","hPa","3.4","3.6","7.5","9.6","15.5","19.4","27.9","27.2","19.4","12","8.4","4.9",
"포항","합계일조시간","hr","223.9","224.5","222.1","259.6","222.9","218.7","257.1","223.9","127.9","238.5","197.7","178.6",
"포항","합계수평면일사","MJ/㎡","186.43","217.83","341.72","553.16","552.3","536.39","581.93","505.79","343.26","395.8","279.82","245.44",
"포항","평균전운량","할","3.1","3.4","4.6","4.1","6","6.3","5.1","6.1","7.4","3.7","3.5","4.2",
"포항","평균현지기압","hPa","1021.8","1021.6","1019.6","1015.1","1011.6","1007.9","1008.8","1007.9","1013.2","1017.8","1022.6","1025.1",
"포항","평균해면기압","hPa","1022.1","1021.9","1020.1","1015.6","1012.1","1008.4","1009.2","1008.3","1013.7","1018.3","1023.1","1025.6",
"포항","최고해면기압","hPa","1033.8","1029","1033.2","1027.6","1025.6","1016.3","1019.5","1015.6","1023.8","1027.3","1029.5","1037.4",
"포항","최고해면기압일자","","2018-01-14","2018-02-24","2018-03-06","2018-04-13","2018-05-09","2018-06-16","2018-07-09","2018-08-17","2018-09-11","2018-10-20","2018-11-23","2018-12-30",
"포항","최저해면기압","hPa","1005.5","991.4","993.6","1002.4","1001.6","998.9","990.3","989.7","992.9","984.7","1006.9","1011.6",
"포항","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-14","2018-05-02","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
"포항","평균지면온도","℃",".9","3.8","10.7","17.8","21.9","27.9","33.1","31.5","23","17.1","11","3.6",
"군산","평균기온","℃","-1.8","-.1","7.8","12.6","17.7","22","26.9","27.7","21.2","13.6","8.7","1.9",
"군산","평균최고기온","℃","2.7","5","13.7","18.1","22.7","26.9","31.2","32.2","25.7","18.9","14","6.1",
"군산","평균최저기온","℃","-5.8","-4.7","2.7","7.5","13.3","18.2","23.4","24.1","17.5","9.2","4.3","-2",
"군산","최고기온","℃","9.3","12.3","23.7","24.9","28.6","32.8","35.7","37.1","30.6","25.5","18.3","16.1",
"군산","최고기온일자","","2018-01-22","2018-02-27","2018-03-14","2018-04-30","2018-05-15","2018-06-25","2018-07-29","2018-08-02","2018-09-03","2018-10-04","2018-11-03","2018-12-03",
"군산","최저기온","℃","-15","-13.6","-5.1",".1","9.9","14.8","19.3","19","11","4.7",".4","-9.9",
"군산","최저기온일자","","2018-01-27","2018-02-07","2018-03-02","2018-04-08","2018-05-05","2018-06-02","2018-07-08","2018-08-26","2018-09-25","2018-10-31","2018-11-23","2018-12-29",
"군산","합계강수량","mm","27.4","33.5","96.3","122","139.6","101.1","316.3","495.9","77.5","138.1","52","37.4",
"군산","평균풍속","m/s","2","2.5","2.1","2.6","2.5","2.1","1.9","2.2","1.5","1.9","1.1","1.7",
"군산","최대풍속","m/s","10.4","11.4","10.6","13.4","9.7","9.9","5.9","8","9.4","10.9","9.8","8.8",
"군산","최대풍속일자","","2018-01-09","2018-02-11","2018-03-01","2018-04-07","2018-05-03","2018-06-26","2018-07-02","2018-08-24","2018-09-30","2018-10-28","2018-11-08","2018-12-27",
"군산","최대순간풍속","m/s","15.9","15.2","14.7","17.7","13.5","14","8.9","12.8","13.6","16.2","14.7","12",
"군산","최대순간풍속일자","","2018-01-09","2018-02-11","2018-03-01","2018-04-07","2018-05-03","2018-06-26","2018-07-01","2018-08-16","2018-09-30","2018-10-01","2018-11-08","2018-12-27",
"군산","평균상대습도","%","72","62","81","75","77","78","81","79","77","76","76","65",
"군산","최소상대습도","%","34","21","23","21","25","27","48","36","34","30","20","19",
"군산","최소상대습도일자","","2018-01-25","2018-02-26","2018-03-02","2018-04-19","2018-05-24","2018-06-03","2018-07-31","2018-08-18","2018-09-24","2018-10-20","2018-11-28","2018-12-15",
"군산","평균이슬점온도","℃","-6.4","-7","4.2","7.7","13.2","17.9","23","23.4","16.7","9","4.2","-4.4",
"군산","평균증기압","hPa","4.1","3.9","8.7","11","15.7","20.8","28.3","29","19.4","11.8","8.7","5",
"군산","합계일조시간","hr","176.8","194.1","197.8","225.2","203.8","229.2","285.7","245.5","202.1","235.1","186.3","185.3",
"군산","평균전운량","할","","","","","","","","5.7","5.4","4.1","4.3","5.4",
"군산","평균현지기압","hPa","1021.9","1021.2","1017.5","1013.2","1009","1005.4","1005.9","1004.5","1010.4","1016.3","1020.9","1024.7",
"군산","평균해면기압","hPa","1024.8","1024.1","1020.3","1016","1011.7","1008","1008.5","1007.1","1013.1","1019.1","1023.7","1027.7",
"군산","최고해면기압","hPa","1034.1","1031.5","1030.5","1023.9","1025.7","1017.8","1016.7","1013.5","1021.9","1027.9","1031","1039.5",
"군산","최고해면기압일자","","2018-01-12","2018-02-02","2018-03-07","2018-04-13","2018-05-10","2018-06-01","2018-07-10","2018-08-26","2018-09-11","2018-10-20","2018-11-23","2018-12-31",
"군산","최저해면기압","hPa","1009.8","995.7","1003.7","1005.3","1002.5","998.1","994.3","986.5","995.7","995.8","1008.5","1013.9",
"군산","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-14","2018-05-17","2018-06-28","2018-07-03","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
"군산","평균지면온도","℃",".1","1.2","9.3","14.5","20.3","28.1","32.5","33.9","23.8","15.8","8.9","2.6",
"대구","평균기온","℃","-.9","1.3","9.2","15","19.2","23.6","28.2","27.7","21","14.3","8.8","2",
"대구","평균최고기온","℃","4","7.1","15.6","21.4","24.8","28.7","33.1","32.9","25.4","20","15.2","7",
"대구","평균최저기온","℃","-5.2","-4.2","3.3","8.9","14.2","18.7","24","23.7","17.2","9.3","3.3","-2.3",
"대구","최고기온","℃","13.2","15","25.9","32","32","35.3","39.2","38.7","30.4","25.8","21.2","16.1",
"대구","최고기온일자","","2018-01-15","2018-02-14","2018-03-28","2018-04-21","2018-05-15","2018-06-25","2018-07-27","2018-08-04","2018-09-05","2018-10-07","2018-11-04","2018-12-04",
"대구","최저기온","℃","-13.9","-10.9","-2.8",".5","7.2","13.7","17.6","18.4","10.4","2.8","-2.7","-8.8",
"대구","최저기온일자","","2018-01-27","2018-02-07","2018-03-02","2018-04-08","2018-05-04","2018-06-17","2018-07-08","2018-08-19","2018-09-25","2018-10-31","2018-11-24","2018-12-28",
"대구","합계강수량","mm","21.1","25.1","98.7","113","99.7","121.1","169.6","334.2","109","165.1","17.2","23.8",
"대구","최심적설","cm","1","0.3","7.5","","","","","","","","","3.3",
"대구","최심적설일자","","2018-01-10","2018-02-13","2018-03-08","","","","","","","","","2018-12-16",
"대구","최심신적설","cm","1","0.3","7.5","","","","","","","","","3.3",
"대구","최심신적설일자","","2018-01-10","2018-02-12","2018-03-08","","","","","","","","","2018-12-16",
"대구","합계신적설","cm","1.2",".6","10.8","","","","","","","","","3.7",
"대구","평균풍속","m/s","2.5","2.5","2.3","2.6","2.4","2.2","2.2","2.4","1.9","1.8","1.3","2.1",
"대구","최대풍속","m/s","9.1","9.6","10.5","8.8","9.5","7.7","7","8","7.1","9","7.7","8.8",
"대구","최대풍속일자","","2018-01-23","2018-02-05","2018-03-01","2018-04-07","2018-05-03","2018-06-09","2018-07-30","2018-08-24","2018-09-30","2018-10-01","2018-11-09","2018-12-07",
"대구","최대순간풍속","m/s","16.3","15.5","18.2","15.3","18.7","12.3","11.7","14.3","11.9","15.1","11.7","16",
"대구","최대순간풍속일자","","2018-01-23","2018-02-05","2018-03-01","2018-04-07","2018-05-30","2018-06-27","2018-07-07","2018-08-24","2018-09-30","2018-10-01","2018-11-09","2018-12-07",
"대구","평균상대습도","%","49","40","60","52","62","60","66","68","71","63","63","50",
"대구","최소상대습도","%","11","8","11","9","12","17","24","28","17","12","13","8",
"대구","최소상대습도일자","","2018-01-27","2018-02-16","2018-03-02","2018-04-21","2018-05-04","2018-06-03","2018-07-29","2018-08-21","2018-09-18","2018-10-21","2018-11-28","2018-12-27",
"대구","평균이슬점온도","℃","-11.4","-12.3",".5","3.4","10.5","14.1","20.3","20.5","14.9","6.3",".9","-8.5",
"대구","평균증기압","hPa","3","2.8","6.8","8.3","13.5","16.6","24.1","24.3","17.4","10.1","7.1","3.9",
"대구","합계일조시간","hr","216.3","209","219.3","247.6","203.8","201.5","225.4","219.8","142.6","238.8","186.2","185",
"대구","합계수평면일사","MJ/㎡","311.43","356.28","470.41","559.89","569.94","575.54","583.52","544.94","391.07","417.44","290.08","260.56",
"대구","평균전운량","할","3.9","3.6","4.3","4.6","6.1","6.1","5.1","5.8","6.7","3.6","3.5","4",
"대구","평균현지기압","hPa","1016.4","1015.8","1013.5","1009.1","1005.4","1001.9","1002.6","1001.7","1007.2","1012","1016.7","1019.6",
"대구","평균해면기압","hPa","1023.2","1022.5","1020","1015.5","1011.6","1008","1008.6","1007.8","1013.3","1018.4","1023.3","1026.4",
"대구","최고해면기압","hPa","1034.5","1029.9","1032.4","1026","1025.3","1016.2","1018.3","1014.4","1023","1027.5","1031","1038.4",
"대구","최고해면기압일자","","2018-01-14","2018-02-02","2018-03-07","2018-04-13","2018-05-10","2018-06-02","2018-07-09","2018-08-17","2018-09-11","2018-10-20","2018-11-23","2018-12-31",
"대구","최저해면기압","hPa","1007","992.4","996.4","1002.5","1001.4","999","991.8","988.2","993.4","985","1007.7","1011.7",
"대구","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-14","2018-05-02","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
"대구","평균지면온도","℃","-.3","1.8","10.2","17.9","22.5","27.7","33.2","32.1","23","16.3","9.1","2.1",
"전주","평균기온","℃","-1.5",".4","9","14","18.9","23.1","27.8","28.6","21.7","13.9","9.2","2",
"전주","평균최고기온","℃","2.8","6.2","15.3","20.3","24.7","29","32.7","33.7","26.6","19.3","14.5","6.4",
"전주","평균최저기온","℃","-5.2","-4.3","3.7","8.7","13.8","18.7","23.9","24.7","17.6","9.2","4.7","-2.1",
"전주","최고기온","℃","10.1","14.7","24.6","28.4","30.3","34.8","36.8","38.9","31","26.7","19.5","19.6",
"전주","최고기온일자","","2018-01-22","2018-02-27","2018-03-14","2018-04-20","2018-05-15","2018-06-25","2018-07-31","2018-08-13","2018-09-03","2018-10-04","2018-11-05","2018-12-02",
"전주","최저기온","℃","-15","-11.6","-4.8","0","7.8","15.2","18.3","19.8","10.4","4.4","-.6","-9.6",
"전주","최저기온일자","","2018-01-27","2018-02-07","2018-03-02","2018-04-08","2018-05-04","2018-06-01","2018-07-07","2018-08-31","2018-09-25","2018-10-30","2018-11-23","2018-12-29",
"전주","합계강수량","mm","28.4","21.5","98","98.7","122.1","137.2","169.1","368.9","101.8","123.2","35","28.6",
"전주","최심적설","cm","12.8","2","2","","","","","","","","","1",
"전주","최심적설일자","","2018-01-10","2018-02-13","2018-03-21","","","","","","","","","2018-12-06",
"전주","최심신적설","cm","7.7","1.9","2","","","","","","","","","1",
"전주","최심신적설일자","","2018-01-10","2018-02-11","2018-03-21","","","","","","","","","2018-12-06",
"전주","합계신적설","cm","22.4","6","2","","","","","","","","","1",
"전주","평균풍속","m/s","1.7","1.9","1.9","2","1.8","1.5","1.5","1.8","1.5","1.7","1.4","1.6",
"전주","최대풍속","m/s","7","7.9","7.5","8.4","7.9","5.4","5.6","6.3","6.4","8.3","8.1","6.9",
"전주","최대풍속일자","","2018-01-23","2018-02-28","2018-03-01","2018-04-08","2018-05-03","2018-06-03","2018-07-29","2018-08-24","2018-09-30","2018-10-28","2018-11-08","2018-12-07",
"전주","최대순간풍속","m/s","12.7","14.2","12.2","14.4","13.6","11","10.4","11.6","11.9","14.9","14.1","11.8",
"전주","최대순간풍속일자","","2018-01-09","2018-02-28","2018-03-01","2018-04-06","2018-05-03","2018-06-26","2018-07-01","2018-08-22","2018-09-30","2018-10-28","2018-11-08","2018-12-07",
"전주","평균상대습도","%","68","54","74","69","77","78","84","81","81","78","76","68",
"전주","최소상대습도","%","24","16","13","13","25","30","49","38","40","34","23","18",
"전주","최소상대습도일자","","2018-01-27","2018-02-25","2018-03-03","2018-04-19","2018-05-20","2018-06-03","2018-07-31","2018-08-18","2018-09-25","2018-10-17","2018-11-28","2018-12-10",
"전주","평균이슬점온도","℃","-7.2","-8.5","4","7.5","14","18.8","24.5","24.5","17.9","9.6","4.5","-3.8",
"전주","평균증기압","hPa","4","3.5","8.6","11","16.8","22","31","30.9","21","12.3","8.9","5.3",
"전주","합계일조시간","hr","178.3","197.3","209.4","219.8","204.9","206.4","256.6","225.2","180.3","221","187.4","175",
"전주","합계수평면일사","MJ/㎡","288.19","369.12","487.52","568.67","606","626.09","682.56","583.99","472.4","432.22","298.67","263.87",
"전주","평균전운량","할","4.7","4.5","4.6","4.8","5.7","5.6","4.8","5.7","5.8","4","3.8","5.1",
"전주","평균현지기압","hPa","1016.9","1016.2","1012.6","1008.4","1004.3","1000.8","1001.4","1000","1005.8","1011.6","1016.1","1019.8",
"전주","평균해면기압","hPa","1024.7","1024","1020.1","1015.8","1011.5","1007.8","1008.3","1006.9","1012.9","1019","1023.6","1027.6",
"전주","최고해면기압","hPa","1034.1","1031.5","1030.5","1023.7","1025.5","1017","1015.7","1013.1","1021.5","1027.7","1031.1","1039.2",
"전주","최고해면기압일자","","2018-01-12","2018-02-02","2018-03-07","2018-04-13","2018-05-10","2018-06-02","2018-07-11","2018-08-26","2018-09-11","2018-10-12","2018-11-23","2018-12-31",
"전주","최저해면기압","hPa","1009.6","994.5","1003.1","1004.7","1002.4","998.1","993.6","985.9","995.2","994.7","1008.2","1013.5",
"전주","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-14","2018-05-18","2018-06-28","2018-07-03","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
"전주","평균지면온도","℃",".4","1.2","9.6","15","21.9","29","34","35.5","23.6","16.7","10.6","3",
"울산","평균기온","℃",".7","2.6","9.5","14.5","18.1","21.6","26.8","27","21.1","15.1","10.7","4.1",
"울산","평균최고기온","℃","5.4","7.6","14.6","19.9","22.8","26.2","30.8","31.1","24.7","20.2","16","8.7",
"울산","평균최저기온","℃","-3.4","-2.1","4.4","9.7","14.2","17.9","23.5","23.6","18.3","10.5","5.9","-.1",
"울산","최고기온","℃","14.5","15.7","24.6","29.1","31.5","34.5","36.1","37.3","30","25.7","21.3","19.5",
"울산","최고기온일자","","2018-01-15","2018-02-27","2018-03-28","2018-04-21","2018-05-15","2018-06-24","2018-07-16","2018-08-05","2018-09-04","2018-10-07","2018-11-04","2018-12-03",
"울산","최저기온","℃","-12.4","-10.9","-2.2","1.5","9.2","12.7","17.3","18.1","13.2","4.7","-1.3","-8.5",
"울산","최저기온일자","","2018-01-26","2018-02-07","2018-03-02","2018-04-08","2018-05-04","2018-06-17","2018-07-08","2018-08-19","2018-09-25","2018-10-28","2018-11-24","2018-12-28",
"울산","합계강수량","mm","31.3","44.8","155.3","123.3","95.4","127.6","160.3","279.3","156.9","162","51.8","28.1",
"울산","최심적설","cm","0.3","","","","","","","","","","","",
"울산","최심적설일자","","2018-01-09","","","","","","","","","","","",
"울산","최심신적설","cm","0.3","","","","","","","","","","","",
"울산","최심신적설일자","","2018-01-09","","","","","","","","","","","",
"울산","합계신적설","cm",".3","","","","","","","","","","","",
"울산","평균풍속","m/s","2.5","2.6","2.7","2.4","2.3","1.8","1.9","2.1","2","2","1.7","2.4",
"울산","최대풍속","m/s","7.8","8.5","8.9","11.4","9.3","8","8.9","8.3","6.1","12.9","6.9","9.6",
"울산","최대풍속일자","","2018-01-24","2018-02-04","2018-03-20","2018-04-10","2018-05-17","2018-06-27","2018-07-03","2018-08-24","2018-09-30","2018-10-06","2018-11-22","2018-12-29",
"울산","최대순간풍속","m/s","14.7","13.5","15.8","17.4","13.3","12.6","16.9","15.4","10.9","23.9","12","14.3",
"울산","최대순간풍속일자","","2018-01-24","2018-02-04","2018-03-20","2018-04-10","2018-05-16","2018-06-27","2018-07-03","2018-08-24","2018-09-27","2018-10-06","2018-11-22","2018-12-29",
"울산","평균상대습도","%","47","41","65","61","72","75","82","81","81","70","63","51",
"울산","최소상대습도","%","10","7","12","8","14","26","44","41","39","20","11","6",
"울산","최소상대습도일자","","2018-01-27","2018-02-17","2018-03-28","2018-04-21","2018-05-04","2018-06-24","2018-07-20","2018-08-05","2018-09-23","2018-10-30","2018-11-23","2018-12-27",
"울산","평균이슬점온도","℃","-10.5","-10.8","2.4","5.9","12.5","17.1","23","23","17.4","8.9","3","-6.6",
"울산","평균증기압","hPa","3.4","3.3","7.7","9.9","15.3","19.8","28.4","28.3","20.3","12","8.3","4.9",
"울산","합계일조시간","hr","224.2","215.3","223.3","247.6","217.4","196.1","265","243.7","122.9","238.6","200.5","185.3",
"울산","평균전운량","할","3.3","3.6","4.3","4.3","6","6.3","4.6","5.5","7.2","3.8","3.5","4.4",
"울산","평균현지기압","hPa","1011.5","1011.4","1009.6","1005.5","1002.1","998.7","999.4","998.6","1003.5","1008","1012.6","1014.8",
"울산","평균해면기압","hPa","1022","1021.8","1019.7","1015.4","1011.8","1008.3","1008.8","1008","1013.1","1017.9","1022.7","1025.2",
"울산","최고해면기압","hPa","1034","1028.6","1032.6","1026.7","1025.1","1015.7","1018.8","1014.5","1022.5","1026.7","1029.3","1036.9",
"울산","최고해면기압일자","","2018-01-14","2018-02-01","2018-03-06","2018-04-13","2018-05-09","2018-06-01","2018-07-09","2018-08-17","2018-09-11","2018-10-20","2018-11-24","2018-12-30",
"울산","최저해면기압","hPa","1005.2","991.1","992","1001.2","1001.6","999","988.6","990.8","992.9","984.4","1008.3","1011",
"울산","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-14","2018-05-02","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
"울산","평균지면온도","℃","0","1.7","8.6","14.6","19.5","23.7","30.1","29.5","22","15.8","9.8","3.2",
"창원","평균기온","℃",".3","2.6","9.1","14.4","18.1","21.7","27.1","27.5","21.3","15.1","10.1","3.2",
"창원","평균최고기온","℃","4.9","7.8","14.8","20.2","23.4","26.8","31.8","32.2","25.1","20.1","15.2","7.3",
"창원","평균최저기온","℃","-3.6","-2.2","4.1","9.5","13.8","17.9","23.3","24.1","18.1","10.9","5.9","-.7",
"창원","최고기온","℃","13.8","14.6","23.2","27.3","29","34.7","36.4","37","30.2","26.4","20.5","16.2",
"창원","최고기온일자","","2018-01-15","2018-02-27","2018-03-29","2018-04-20","2018-05-30","2018-06-24","2018-07-26","2018-08-05","2018-09-04","2018-10-07","2018-11-06","2018-12-02",
"창원","최저기온","℃","-12","-10.2","-1.9","1.2","8.3","13.9","17.8","19.8","12.9","4.7","-.3","-9.8",
"창원","최저기온일자","","2018-01-26","2018-02-06","2018-03-02","2018-04-08","2018-05-04","2018-06-17","2018-07-08","2018-08-18","2018-09-25","2018-10-31","2018-11-25","2018-12-28",
"창원","합계강수량","mm","26.7","32.6","186","119.3","145","194.8","146","243.7","216.4","146.2","23.7","26.9",
"창원","평균풍속","m/s","1.7","1.8","1.9","1.8","1.8","1.6","1.5","1.7","1.3","1.5","1.2","1.8",
"창원","최대풍속","m/s","6.4","7.3","9","7.6","6.5","6.4","6.4","8.5","5.3","12.6","7","7.5",
"창원","최대풍속일자","","2018-01-25","2018-02-14","2018-03-20","2018-04-10","2018-05-20","2018-06-01","2018-07-03","2018-08-24","2018-09-04","2018-10-06","2018-11-22","2018-12-09",
"창원","최대순간풍속","m/s","12.2","12.4","17.1","13.4","11.7","10.7","10.5","17.4","10.4","23.5","14.8","12.5",
"창원","최대순간풍속일자","","2018-01-11","2018-02-12","2018-03-01","2018-04-07","2018-05-02","2018-06-27","2018-07-03","2018-08-24","2018-09-30","2018-10-06","2018-11-22","2018-12-24",
"창원","평균상대습도","%","46","38","67","67","76","80","84","83","82","69","65","51",
"창원","최소상대습도","%","3","1","13","13","13","33","45","48","37","22","11","4",
"창원","최소상대습도일자","","2018-01-27","2018-02-15","2018-03-31","2018-04-21","2018-05-04","2018-06-21","2018-07-29","2018-08-19","2018-09-30","2018-10-18","2018-11-18","2018-12-27",
"창원","평균이슬점온도","℃","-11","-12.1","2.4","7.1","13.1","17.5","23.9","24.1","17.7","9","3","-7.2",
"창원","평균증기압","hPa","3.2","3.1","7.8","10.8","15.7","20.3","30","30.3","20.8","12","8.2","4.5",
"창원","합계일조시간","hr","208.9","201.4","205.7","231.3","188.6","186.9","166.4","192.3","122.4","221.9","191","181.8",
"창원","합계수평면일사","MJ/㎡","345.92","401.9","498.56","585.93","573.34","603.37","670.19","525.49","381.42","455.43","339.45","296.07",
"창원","평균전운량","할","3.8","3.7","4.2","4.7","6.1","6.1","4.7","5.6","7.1","3.6","3.6","4.4",
"창원","평균현지기압","hPa","1017.9","1017.5","1015.1","1011.2","1007.5","1003.9","1004.3","1003.3","1008.5","1013.5","1018.2","1020.9",
"창원","평균해면기압","hPa","1022.6","1022.2","1019.7","1015.7","1011.9","1008.2","1008.6","1007.6","1012.9","1018","1022.8","1025.6",
"창원","최고해면기압","hPa","1033.9","1028.7","1031.5","1025","1024.9","1016","1018.1","1013.4","1021.9","1026.9","1030.3","1037.1",
"창원","최고해면기압일자","","2018-01-14","2018-02-02","2018-03-07","2018-04-13","2018-05-10","2018-06-01","2018-07-09","2018-08-28","2018-09-11","2018-10-20","2018-11-23","2018-12-30",
"창원","최저해면기압","hPa","1006.2","992.6","994.1","1001.4","1002.5","997.2","989.2","989.9","993.4","980.1","1009.8","1011.7",
"창원","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-14","2018-05-02","2018-06-28","2018-07-03","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
"창원","평균지면온도","℃","2","4.6","10.1","15.5","20","24.6","31.9","30.9","22.9","16.4","9.8","2.5",
"광주","평균기온","℃","-.2","1.8","10","15.1","19.5","23.6","28.3","28.4","21.6","14.5","9.9","3.2",
"광주","평균최고기온","℃","4.5","7.1","16.5","21.5","25","29.5","33.5","33.7","26.3","19.9","15.5","7.8",
"광주","평균최저기온","℃","-3.8","-2.8","4.7","9.7","14.8","19.2","24.5","24.9","18","10.1","5.3","-.6",
"광주","최고기온","℃","11.4","15.9","24.8","30.2","31.1","34.5","38.5","38.5","29.7","25.4","21","19.8",
"광주","최고기온일자","","2018-01-15","2018-02-27","2018-03-31","2018-04-20","2018-05-15","2018-06-25","2018-07-27","2018-08-15","2018-09-03","2018-10-04","2018-11-05","2018-12-02",
"광주","최저기온","℃","-11.5","-10","-3.1","1.1","7.8","15.7","20.4","20.6","11.6","5.6",".4","-7",
"광주","최저기온일자","","2018-01-27","2018-02-07","2018-03-02","2018-04-07","2018-05-04","2018-06-01","2018-07-01","2018-08-18","2018-09-25","2018-10-31","2018-11-23","2018-12-31",
"광주","합계강수량","mm","38.8","22","115.8","127.4","85.4","222.4","84.5","397.1","129.7","125.2","47.2","32.4",
"광주","최심적설","cm","20.1","6.6","1","","","","","","","","","",
"광주","최심적설일자","","2018-01-11","2018-02-11","2018-03-21","","","","","","","","","",
"광주","최심신적설","cm","17.1","6.6","1","","","","","","","","","",
"광주","최심신적설일자","","2018-01-10","2018-02-11","2018-03-21","","","","","","","","","",
